cell_a,cell_b,source_cell_a,source_cell_b,correlation,pvalue
7,40,15,118,0.20141112804412842,7.877472964159806e-29
7,44,15,133,0.28320950269699097,0.0
8,11,17,21,0.49002841114997864,0.0
8,16,17,31,0.6734784841537476,0.0
8,20,17,40,0.4570228159427643,0.0
8,29,17,73,0.6553780436515808,0.0
8,37,17,112,0.7795503735542297,0.0
8,38,17,113,0.6333048343658447,0.0
8,39,17,114,0.2770503759384155,0.0
8,43,17,128,0.1685214638710022,1.500137761980805e-20
8,45,17,135,0.453294038772583,0.0
9,12,19,22,0.15596681833267212,8.56762245619149e-18
9,15,19,30,0.4760899841785431,0.0
9,40,19,118,0.3448604345321655,0.0
9,44,19,133,0.325374037027359,0.0
10,13,20,23,0.30525800585746765,0.0
10,14,20,24,0.715024471282959,0.0
10,19,20,38,0.21059513092041016,2.017253865403749e-31
10,24,20,52,0.36865198612213135,0.0
10,27,20,62,0.6480411291122437,0.0
10,41,20,119,0.3234667181968689,0.0
10,46,20,137,0.6596031785011292,0.0
11,12,21,22,0.21314634382724762,3.653868142656009e-32
11,16,21,31,0.8317831158638,0.0
11,25,21,54,0.40983080863952637,0.0
11,29,21,73,0.5137721300125122,0.0
11,37,21,112,0.5875823497772217,0.0
11,38,21,113,0.5954288244247437,0.0
11,39,21,114,0.32455727458000183,0.0
11,43,21,128,0.7496641278266907,0.0
11,45,21,135,0.9195420145988464,0.0
12,25,22,54,0.45326969027519226,0.0
12,28,22,67,0.24912166595458984,1.1350517561031018e-43
12,33,22,91,0.250435471534729,3.923635700109488e-44
12,43,22,128,0.28648465871810913,0.0
12,45,22,135,0.2142011672258377,1.7911978675686562e-32
13,14,23,24,0.247055321931839,5.8714405655209835e-43
13,27,23,62,0.3344476521015167,0.0
13,30,23,77,0.5279555320739746,0.0
13,36,23,100,0.36381635069847107,0.0
13,42,23,124,0.71280837059021,0.0
13,46,23,137,0.359346866607666,0.0
14,19,24,38,0.1754780113697052,3.5771214553786317e-22
14,24,24,52,0.4162513315677643,0.0
14,27,24,62,0.4361245632171631,0.0
14,41,24,119,0.3570113182067871,0.0
14,46,24,137,0.47184792160987854,0.0
15,20,30,40,0.18718655407428741,4.651315195952602e-25
15,40,30,118,0.2195868194103241,4.431084270964673e-34
15,44,30,133,0.5877922177314758,0.0
16,20,31,40,0.33048608899116516,0.0
16,25,31,54,0.3773525357246399,0.0
16,29,31,73,0.6348257064819336,0.0
16,37,31,112,0.6868115067481995,0.0
16,38,31,113,0.6011859774589539,0.0
16,39,31,114,0.3564276397228241,0.0
16,43,31,128,0.6082385778427124,0.0
16,45,31,135,0.8025386333465576,0.0
17,18,33,36,0.3737102448940277,0.0
